model,fpr,tpr,threshold,curve,model_key,display_model,precision,recall
Ours,0.3523097565650757,0.810935441370224,0.0030317656,ROC,ours_full,Ours,,
Ours,0.3528847996933103,0.810935441370224,0.0030235602,ROC,ours_full,Ours,,
Ours,0.3528847996933103,0.8122529644268774,0.0030114013,ROC,ours_full,Ours,,
Ours,0.3569101015909526,0.8122529644268774,0.0029433528,ROC,ours_full,Ours,,
Ours,0.3569101015909526,0.8129117259552042,0.0029408254,ROC,ours_full,Ours,,
Ours,0.3617021276595745,0.8129117259552042,0.0028580055,ROC,ours_full,Ours,,
Ours,0.3617021276595745,0.813570487483531,0.0028566862,ROC,ours_full,Ours,,
Ours,0.3664941537281962,0.813570487483531,0.0027595637,ROC,ours_full,Ours,,
Ours,0.3664941537281962,0.8148880105401844,0.0027584867,ROC,ours_full,Ours,,
Ours,0.3709028177113283,0.8148880105401844,0.0026917884,ROC,ours_full,Ours,,
Ours,0.3709028177113283,0.8155467720685112,0.0026916296,ROC,ours_full,Ours,,
Ours,0.3716695418823078,0.8155467720685112,0.002673314,ROC,ours_full,Ours,,
Ours,0.3716695418823078,0.8162055335968379,0.002671321,ROC,ours_full,Ours,,
Ours,0.3722445850105425,0.8162055335968379,0.0026689006,ROC,ours_full,Ours,,
Ours,0.3722445850105425,0.8175230566534915,0.0026638615,ROC,ours_full,Ours,,
Ours,0.3732029902242668,0.8175230566534915,0.0026393826,ROC,ours_full,Ours,,
Ours,0.3732029902242668,0.8181818181818182,0.00263582,ROC,ours_full,Ours,,
Ours,0.3829787234042553,0.8181818181818182,0.0024795625,ROC,ours_full,Ours,,
Ours,0.3829787234042553,0.8188405797101449,0.0024774119,ROC,ours_full,Ours,,
Ours,0.387962430515622,0.8188405797101449,0.0023760262,ROC,ours_full,Ours,,
Ours,0.387962430515622,0.8194993412384717,0.0023749606,ROC,ours_full,Ours,,
Ours,0.3944795859689476,0.8194993412384717,0.0022867834,ROC,ours_full,Ours,,
